Ingin mengatasi kondisi keluarga yang sedang dilanda prahara.,1
Mengalami masalah  dalam pemahaman penggunaan bahasa / istilah asing.,1
Kesulitan membaca cepat atau memahami isi buku pelajaran.,3
Memiliki masalah dengan sarana belajar yang sering digunakan oleh anggota keluarga lain.,3
"Sering gelisah saat pelajaran berlangsung, sehingga  berusaha menghilangkannya dengan melakukan kegiatan lain.",3
Khawatir tugas-tugas pelajaran hasilnya kurang memuaskan.,3
Cemas kalau menjadi penganggur setelah menyelesaikan pendidikan.,4
Khawatir tidak mampu menamatkan sekolah dan harus segera bekerja.,4
Untuk memenuhi keuangan terpaksa sekolah sambil bekerja.,4
Tidak bersemangat untuk melanjutkan sekolah.,4
"Lulus sekolah ingin bekerja, tetapi orang tua menghendaki untuk melanjutkan pendidikan.",4
Memiliki teman yang selalu mengeluhkan dirinya memiliki tubuh terlalu gemuk / kurus.,2
Ingin membantu teman yang memiliki kebiasaan latah.,2
Ingin membatu teman yang belum mau melaksanakan ibadah sesuai dengan agamanya.,2
Memiliki sahabat yang tidak pernah memiliki waktu senggang untuk rekreasi.,2
Ingin membantu kawan yang karena terlalu berhemat menjadi sering sakit-sakitan.,2
"Memiliki kawan akrab yang merasa dirinya lebih hebat dari lainnya, sehingga sering konflik dengan lingkungan.",2
"Ingin membantu teman yang selalu minder bila bertemu lawan jenis,",2
Ingin membantu kawan akrab yang baru saja diputus oleh pacarnya.,2
Ingin membantu teman yang tidak betah di rumah.,2
Ada teman yang memiliki masalah dengan orang tuanya.,2
Ingin membantu teman yang sulit belajar karena memiliki cacat fisik.,2
Bingung memikirkan teman saya yang setiap kali diajar sulit memperhatikan dan cenderung mengganggu yang lain.,2
"Bingung pada teman yang tidak memiliki sarana belajar yang memadai, sehingga sering menggunakan peralatan saya.",2
Kesulitan menghadapi teman sebangku yang tidak memiliki motivasi belajar.,2
Saya memiliki teman yang setiap hari melemahkan semangat belajar saya.,2
Ingin membantu teman yang sampai sekarang masih bingung menyusun cita-cita masa depan.,2
Ingin membantu teman yang masih kesulitan dalam memilih jenis ekstra kurikuler yang harus diikuti.,2
Memiliki teman yang setiap hari mengeluhkan keadaan dirinya yang saat ini disuruh bekerja oleh orang tuanya.,2
Memiliki teman yang tidak berminat melanjutkan padahal menurut saya dia mampu.,2
Ingin membantu teman yang mengalami kesulitan memperoleh informasi tentang pendidikan lanjutan.,2
Saya memiliki masalah dengan salah seorang guru yang tidak mengetahui bahwa saya memiliki kelemahan fisik.,1
Dimusuhi / dibenci  guru tanpa tahu sebabnya.,1
Saya sedang punya masalah dengan salah seorang guru yang mengetahui di HP saya ada gambar tidak layak.,2
Saya punya masalah dengan teman sepermainan.,2
Saya memiliki masalah dengan orang tua berkaitan dengan keuangan.,1
Saya memiliki masalah dengan teman sekelas.,2
Saya sedang konflik dengan seseorang dari kakak / adik kelas.,2
Saya sedang bermasalah dengan pacar saya.,2
Saya memiliki masalah dengan tetangga.,2
Saya sedang didiamkan salah seorang anggota keluarga.,1
"Saya memiliki masalah dengan petugas perpustakaan, sehingga menjadikan berkunjung masuk ke sana.",2
Saya sedih karena memiliki masalah dengan salah seorang guru mata pelajaran.,2
Kurang semangat belajar karena orang tua tidak membelikan sarana belajar yang pernah dijanjikan.,3
"Guru pilih kasih, dan saya tidak diikutkan dalam olimpiade / kejuaraan.",3
"Saya sedang memiliki masalah dengan petugas laboratorium, berkaitan dengan peralatan sekolah.",2
Merasa disisihkan pembina ekstra kurikuler dalam berbagai kegiatan.,2
Orang tua memaksa untuk mengikuti pilihan karier  masa depan saya.,4
Saya memiliki masalah dengan teman berkaitan dengan pilihan ekstra kurikuler yang saya ambil.,2
Orang tua tidak setuju pada rencana pendidikan lanjutan pilihan saya.,4
Beda pendapat dengan saudara berkaitan dengan pilihan jurusan yang saya ambil.,4
